ticker,exchange_cd,date,sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
AAPL,MM,2014.3.11,1.286,3.076,-1.504,42,5,APPLE INC
AAPL,MM,2014.3.12,0.884,3.209,-2.441,43,6,APPLE INC
AAPL,MM,2014.3.13,1.268,3.677,-2.141,56,8,APPLE INC
AAPL,MM,2014.3.14,0.647,2.921,-2.627,34,5,APPLE INC
AAPL,MM,2014.3.15,0.5,2.092,-2.092,14,5,APPLE INC
AAPL,MM,2014.3.16,0.267,1.607,-2.073,15,7,APPLE INC
AAPL,MM,2014.3.17,0.425,2.373,-2.523,40,10,APPLE INC
AAPL,MM,2014.3.18,1.757,4.066,-1.551,103,10,APPLE INC
AAPL,MM,2014.3.19,0.197,2.478,-3.083,71,6,APPLE INC
AAPL,MM,2014.3.20,0.464,2.724,-2.795,56,5,APPLE INC
AAPL,MM,2014.3.21,0.694,3.198,-2.809,36,3,APPLE INC
AAPL,MM,2014.3.22,1.667,4.093,-1.76,6,2,APPLE INC
AAPL,MM,2014.3.23,1.238,3.418,-1.942,21,3,APPLE INC
AAPL,MM,2014.3.24,0.48,2.525,-2.566,123,10,APPLE INC
AAPL,MM,2014.3.25,1.635,4.079,-1.809,85,6,APPLE INC
AAPL,MM,2014.3.26,0.672,2.579,-2.234,58,4,APPLE INC
AAPL,MM,2014.3.27,0.849,2.927,-2.229,53,4,APPLE INC
AAPL,MM,2014.3.28,1.1,3.135,-1.935,80,6,APPLE INC
AAPL,MM,2014.3.29,0.5,2.839,-2.839,18,4,APPLE INC
AAPL,MM,2014.3.30,0.789,2.752,-2.173,19,5,APPLE INC
AAPL,MM,2014.3.31,0.917,2.615,-1.782,84,9,APPLE INC
AAPL,MM,2014.4.1,0.072,1.699,-2.554,83,9,APPLE INC
AAPL,MM,2014.4.2,0.904,2.94,-2.132,104,10,APPLE INC
AAPL,MM,2014.4.3,0.767,2.665,-2.131,73,7,APPLE INC
AAPL,MM,2014.4.4,1.115,3.374,-2.143,52,5,APPLE INC
